date,order_id,emp_id,item_id,quantity,item_price,order_cost,final_bill
2023-06-01,1,1007,10,2,150,300,342
2023-06-01,2,1061,13,3,125,375,427.5
2023-06-01,3,1006,6,3,250,750,855
2023-06-01,4,1240,9,3,300,900,1026
2023-06-01,5,1096,5,2,225,450,513
2023-06-01,6,1057,14,3,125,375,427.5
2023-06-01,7,1148,6,3,250,750,855
2023-06-01,8,1136,7,2,150,300,342
2023-06-01,9,1112,2,1,30,30,34.2
2023-06-01,10,1047,14,2,125,250,285
2023-06-01,11,1216,14,1,125,125,142.5
2023-06-01,12,1023,1,2,30,60,68.4
2023-06-01,13,1031,2,2,30,60,68.4
2023-06-01,14,1144,13,1,125,125,142.5
2023-06-01,15,1128,13,2,125,250,285
2023-06-01,16,1159,7,1,150,150,171
2023-06-01,17,1140,2,1,30,30,34.2
2023-06-01,18,1115,14,2,125,250,285
2023-06-01,19,1046,4,2,150,300,342
2023-06-01,20,1040,10,1,150,150,171
2023-06-01,21,1201,12,3,150,450,513
2023-06-01,22,1015,1,3,30,90,102.6
2023-06-01,23,1193,6,3,250,750,855
2023-06-01,24,1179,1,3,30,90,102.6
2023-06-01,25,1115,10,3,150,450,513
2023-06-01,26,1169,13,3,125,375,427.5
2023-06-01,27,1141,2,2,30,60,68.4
2023-06-01,28,1223,9,2,300,600,684
2023-06-01,29,1215,8,3,250,750,855
2023-06-01,30,1105,14,2,125,250,285
2023-06-01,31,1033,1,1,30,30,34.2
2023-06-01,32,1005,6,1,250,250,285
2023-06-01,33,1108,12,1,150,150,171
2023-06-01,34,1019,13,2,125,250,285
2023-06-01,35,1236,6,3,250,750,855
2023-06-01,36,1174,1,1,30,30,34.2
2023-06-01,37,1070,13,1,125,125,142.5
2023-06-01,38,1073,3,3,30,90,102.6
2023-06-01,39,1091,5,3,225,675,769.5
2023-06-01,40,1049,2,3,30,90,102.6
2023-06-01,41,1008,9,3,300,900,1026
2023-06-01,42,1082,13,1,125,125,142.5
2023-06-01,43,1003,7,3,150,450,513
2023-06-02,44,1109,1,2,30,60,68.4
2023-06-02,45,1027,14,2,125,250,285
2023-06-02,46,1224,7,2,150,300,342
2023-06-02,47,1183,1,3,30,90,102.6
2023-06-02,48,1120,4,1,150,150,171
2023-06-02,49,1153,13,2,125,250,285
2023-06-02,50,1121,5,3,225,675,769.5
2023-06-02,51,1147,2,3,30,90,102.6
2023-06-02,52,1244,6,3,250,750,855
2023-06-02,53,1208,9,2,300,600,684
2023-06-02,54,1027,4,3,150,450,513
2023-06-02,55,1175,6,2,250,500,570
2023-06-02,56,1149,1,3,30,90,102.6
2023-06-02,57,1172,8,3,250,750,855
2023-06-02,58,1038,5,1,225,225,256.5
2023-06-02,59,1129,13,3,125,375,427.5
2023-06-02,60,1056,1,1,30,30,34.2
2023-06-02,61,1110,4,2,150,300,342
2023-06-02,62,1108,5,3,225,675,769.5
2023-06-02,63,1114,14,3,125,375,427.5
2023-06-02,64,1138,4,3,150,450,513
2023-06-02,65,1190,12,3,150,450,513
2023-06-02,66,1150,5,3,225,675,769.5
2023-06-02,67,1231,1,2,30,60,68.4
2023-06-02,68,1121,7,2,150,300,342
2023-06-02,69,1063,8,3,250,750,855
2023-06-02,70,1001,5,2,225,450,513
2023-06-02,71,1142,7,1,150,150,171
2023-06-02,72,1162,11,1,125,125,142.5
2023-06-02,73,1075,10,2,150,300,342
2023-06-02,74,1165,3,3,30,90,102.6
2023-06-02,75,1248,9,3,300,900,1026
2023-06-02,76,1049,4,2,150,300,342
2023-06-02,77,1119,2,1,30,30,34.2
2023-06-02,78,1131,10,1,150,150,171
2023-06-02,79,1164,11,2,125,250,285
2023-06-02,80,1225,6,1,250,250,285
2023-06-03,81,1135,6,1,250,250,285
2023-06-03,82,1118,1,1,30,30,34.2
2023-06-03,83,1135,11,2,125,250,285
2023-06-03,84,1200,3,2,30,60,68.4
2023-06-03,85,1081,14,2,125,250,285
2023-06-03,86,1004,5,2,225,450,513
2023-06-03,87,1190,8,2,250,500,570
2023-06-03,88,1012,8,2,250,500,570
2023-06-03,89,1126,2,1,30,30,34.2
2023-06-03,90,1145,1,1,30,30,34.2
2023-06-03,91,1141,14,2,125,250,285
2023-06-03,92,1241,4,1,150,150,171
2023-06-03,93,1077,1,3,30,90,102.6
2023-06-03,94,1199,11,1,125,125,142.5
2023-06-03,95,1183,4,1,150,150,171
2023-06-03,96,1249,2,1,30,30,34.2
2023-06-03,97,1134,5,1,225,225,256.5
2023-06-03,98,1056,4,2,150,300,342
2023-06-03,99,1093,1,3,30,90,102.6
2023-06-03,100,1202,9,3,300,900,1026
2023-06-03,101,1078,4,1,150,150,171
2023-06-03,102,1121,8,3,250,750,855
2023-06-03,103,1206,13,2,125,250,285
2023-06-03,104,1237,8,1,250,250,285
2023-06-03,105,1119,11,3,125,375,427.5
2023-06-03,106,1185,3,1,30,30,34.2
2023-06-03,107,1189,4,3,150,450,513
2023-06-03,108,1108,13,2,125,250,285
2023-06-03,109,1068,10,3,150,450,513
2023-06-03,110,1247,8,1,250,250,285
2023-06-03,111,1102,8,3,250,750,855
2023-06-03,112,1194,5,2,225,450,513
2023-06-03,113,1114,8,2,250,500,570
2023-06-03,114,1084,3,2,30,60,68.4
2023-06-03,115,1155,1,2,30,60,68.4
2023-06-03,116,1151,14,1,125,125,142.5
2023-06-03,117,1176,9,1,300,300,342
2023-06-03,118,1243,14,3,125,375,427.5
2023-06-03,119,1187,6,1,250,250,285
2023-06-03,120,1022,6,2,250,500,570
2023-06-03,121,1138,12,2,150,300,342
2023-06-03,122,1113,6,2,250,500,570
2023-06-03,123,1062,8,1,250,250,285
2023-06-03,124,1230,12,1,150,150,171
2023-06-03,125,1141,4,2,150,300,342
2023-06-04,126,1126,1,3,30,90,102.6
2023-06-04,127,1217,9,3,300,900,1026
2023-06-04,128,1125,4,2,150,300,342
2023-06-04,129,1172,1,2,30,60,68.4
2023-06-04,130,1073,13,1,125,125,142.5
2023-06-04,131,1108,5,2,225,450,513
2023-06-04,132,1014,12,1,150,150,171
2023-06-04,133,1249,11,3,125,375,427.5
2023-06-04,134,1241,9,2,300,600,684
2023-06-04,135,1078,12,1,150,150,171
2023-06-04,136,1086,8,2,250,500,570
2023-06-04,137,1223,3,3,30,90,102.6
2023-06-04,138,1017,10,1,150,150,171
2023-06-04,139,1073,8,2,250,500,570
2023-06-04,140,1001,2,1,30,30,34.2
2023-06-04,141,1187,12,2,150,300,342
2023-06-04,142,1218,3,2,30,60,68.4
2023-06-04,143,1092,2,1,30,30,34.2
2023-06-04,144,1172,5,3,225,675,769.5
2023-06-04,145,1130,3,2,30,60,68.4
2023-06-04,146,1248,7,2,150,300,342
2023-06-04,147,1077,1,1,30,30,34.2
2023-06-04,148,1071,14,1,125,125,142.5
2023-06-04,149,1239,14,3,125,375,427.5
2023-06-04,150,1236,14,3,125,375,427.5
2023-06-04,151,1190,13,1,125,125,142.5
2023-06-04,152,1046,8,1,250,250,285
2023-06-04,153,1110,9,1,300,300,342
2023-06-04,154,1121,6,3,250,750,855
2023-06-04,155,1174,4,2,150,300,342
2023-06-04,156,1202,14,1,125,125,142.5
2023-06-04,157,1069,7,1,150,150,171
2023-06-04,158,1046,14,1,125,125,142.5
2023-06-04,159,1111,12,1,150,150,171
2023-06-04,160,1130,11,1,125,125,142.5
2023-06-04,161,1209,5,1,225,225,256.5
2023-06-04,162,1176,5,3,225,675,769.5
2023-06-04,163,1010,3,2,30,60,68.4
2023-06-04,164,1217,12,1,150,150,171
2023-06-04,165,1199,10,3,150,450,513
2023-06-04,166,1070,4,2,150,300,342
2023-06-04,167,1097,3,2,30,60,68.4
2023-06-05,168,1079,14,2,125,250,285
2023-06-05,169,1111,13,2,125,250,285
2023-06-05,170,1075,8,1,250,250,285
2023-06-05,171,1130,4,1,150,150,171
2023-06-05,172,1075,4,2,150,300,342
2023-06-05,173,1183,3,1,30,30,34.2
2023-06-05,174,1180,5,2,225,450,513
2023-06-05,175,1125,13,3,125,375,427.5
2023-06-05,176,1143,13,3,125,375,427.5
2023-06-05,177,1028,1,1,30,30,34.2
2023-06-05,178,1234,11,3,125,375,427.5
2023-06-05,179,1015,7,3,150,450,513
2023-06-05,180,1017,7,1,150,150,171
2023-06-05,181,1026,6,3,250,750,855
2023-06-05,182,1174,14,3,125,375,427.5
2023-06-05,183,1078,1,2,30,60,68.4
2023-06-05,184,1123,7,1,150,150,171
2023-06-05,185,1210,3,3,30,90,102.6
2023-06-05,186,1212,7,1,150,150,171
2023-06-05,187,1238,8,1,250,250,285
2023-06-05,188,1024,10,3,150,450,513
2023-06-06,189,1001,5,1,225,225,256.5
2023-06-06,190,1165,7,2,150,300,342
2023-06-06,191,1226,10,2,150,300,342
2023-06-06,192,1087,2,3,30,90,102.6
2023-06-06,193,1052,7,1,150,150,171
2023-06-06,194,1136,2,2,30,60,68.4
2023-06-06,195,1147,4,3,150,450,513
2023-06-06,196,1076,14,3,125,375,427.5
2023-06-06,197,1042,12,1,150,150,171
2023-06-06,198,1049,11,3,125,375,427.5
2023-06-06,199,1007,14,3,125,375,427.5
2023-06-06,200,1148,12,3,150,450,513
2023-06-06,201,1238,10,3,150,450,513
2023-06-06,202,1176,9,2,300,600,684
2023-06-06,203,1126,11,3,125,375,427.5
2023-06-06,204,1196,14,1,125,125,142.5
2023-06-06,205,1046,1,1,30,30,34.2
2023-06-06,206,1100,12,2,150,300,342
2023-06-06,207,1065,10,3,150,450,513
2023-06-06,208,1034,7,2,150,300,342
2023-06-06,209,1061,1,3,30,90,102.6
2023-06-06,210,1221,1,3,30,90,102.6
2023-06-06,211,1053,11,3,125,375,427.5
2023-06-06,212,1135,13,3,125,375,427.5
2023-06-06,213,1118,5,3,225,675,769.5
2023-06-06,214,1090,9,3,300,900,1026
2023-06-06,215,1017,9,2,300,600,684
2023-06-06,216,1056,12,2,150,300,342
2023-06-06,217,1186,3,3,30,90,102.6
2023-06-06,218,1177,3,2,30,60,68.4
2023-06-06,219,1086,2,1,30,30,34.2
2023-06-06,220,1226,8,3,250,750,855
2023-06-07,221,1149,5,1,225,225,256.5
2023-06-07,222,1127,8,1,250,250,285
2023-06-07,223,1247,4,1,150,150,171
2023-06-07,224,1138,14,2,125,250,285
2023-06-07,225,1107,3,1,30,30,34.2
2023-06-07,226,1096,12,2,150,300,342
2023-06-07,227,1172,2,2,30,60,68.4
2023-06-07,228,1094,1,1,30,30,34.2
2023-06-07,229,1104,6,1,250,250,285
2023-06-07,230,1242,12,3,150,450,513
2023-06-07,231,1056,5,2,225,450,513
2023-06-07,232,1062,1,1,30,30,34.2
2023-06-07,233,1007,12,3,150,450,513
2023-06-07,234,1194,8,1,250,250,285
2023-06-07,235,1115,5,1,225,225,256.5
2023-06-07,236,1150,9,1,300,300,342
2023-06-07,237,1019,1,1,30,30,34.2
2023-06-07,238,1011,2,3,30,90,102.6
2023-06-07,239,1165,12,1,150,150,171
2023-06-07,240,1230,9,2,300,600,684
2023-06-07,241,1047,3,2,30,60,68.4
2023-06-07,242,1216,2,2,30,60,68.4
2023-06-07,243,1061,14,3,125,375,427.5
2023-06-07,244,1245,10,2,150,300,342
2023-06-07,245,1007,10,2,150,300,342
2023-06-07,246,1177,1,3,30,90,102.6
2023-06-07,247,1159,14,2,125,250,285
2023-06-07,248,1165,6,2,250,500,570
2023-06-07,249,1073,4,1,150,150,171
2023-06-07,250,1207,1,3,30,90,102.6
2023-06-07,251,1033,10,3,150,450,513
2023-06-07,252,1199,10,1,150,150,171
2023-06-07,253,1027,10,1,150,150,171
2023-06-07,254,1023,1,3,30,90,102.6
2023-06-08,255,1199,2,1,30,30,34.2
2023-06-08,256,1204,12,3,150,450,513
2023-06-08,257,1089,12,1,150,150,171
2023-06-08,258,1192,4,2,150,300,342
2023-06-08,259,1163,7,1,150,150,171
2023-06-08,260,1237,3,2,30,60,68.4
2023-06-08,261,1142,1,2,30,60,68.4
2023-06-08,262,1040,9,3,300,900,1026
2023-06-08,263,1008,6,3,250,750,855
2023-06-08,264,1220,7,1,150,150,171
2023-06-08,265,1168,2,3,30,90,102.6
2023-06-08,266,1080,12,2,150,300,342
2023-06-08,267,1092,13,1,125,125,142.5
2023-06-08,268,1150,4,2,150,300,342
2023-06-08,269,1124,10,2,150,300,342
2023-06-08,270,1114,8,2,250,500,570
2023-06-08,271,1074,9,2,300,600,684
2023-06-08,272,1207,13,3,125,375,427.5
2023-06-08,273,1097,9,2,300,600,684
2023-06-08,274,1044,10,2,150,300,342
2023-06-08,275,1081,4,3,150,450,513
2023-06-08,276,1137,11,2,125,250,285
